tipo|sorteo|num1|num2|num3|num4|num5|power|fecha
baloto|2248|11|14|28|29|32|03|07 de Diciembre de 2022
revancha|2248|05|17|21|24|28|10|07 de Diciembre de 2022
baloto|2249|06|09|28|35|41|07|10 de Diciembre de 2022
revancha|2249|04|07|21|22|36|10|10 de Diciembre de 2022
baloto|2250|02|15|23|33|43|04|14 de Diciembre de 2022
revancha|2250|14|18|24|36|42|02|14 de Diciembre de 2022
baloto|2251|01|10|12|39|40|14|17 de Diciembre de 2022
revancha|2251|21|26|34|37|42|16|17 de Diciembre de 2022
baloto|2252|24|27|30|31|39|12|21 de Diciembre de 2022
revancha|2252|31|33|37|40|41|16|21 de Diciembre de 2022
baloto|2253|07|09|23|37|40|14|24 de Diciembre de 2022
revancha|2253|16|26|27|36|42|11|24 de Diciembre de 2022
baloto|2254|02|08|17|20|25|07|28 de Diciembre de 2022
revancha|2254|01|04|09|23|24|13|28 de Diciembre de 2022
baloto|2255|03|11|27|31|32|12|31 de Diciembre de 2022
revancha|2255|14|25|32|33|39|12|31 de Diciembre de 2022
baloto|2256|12|32|36|37|42|11|04 de Enero de 2023
revancha|2256|01|12|14|32|33|08|04 de Enero de 2023
baloto|2257|17|25|32|33|40|03|07 de Enero de 2023
revancha|2257|11|17|33|34|40|09|07 de Enero de 2023
baloto|2258|02|17|24|37|42|11|11 de Enero de 2023
revancha|2258|17|21|22|27|29|09|11 de Enero de 2023
baloto|2259|02|23|25|33|34|10|14 de Enero de 2023
revancha|2259|04|08|21|36|43|08|14 de Enero de 2023
baloto|2260|10|29|30|32|36|04|18 de Enero de 2023
revancha|2260|08|09|33|35|42|13|18 de Enero de 2023
